function	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
RXN-9205	4841.83	3874.5	5215.72	3429.01	2895.5	3235.2	3276.1400000000003	1738.05	527.79	502.54	1501.08	2021.04	1985.93	3177.59
RXN-9217	5092.83	3902.0	5751.93	3582.02	2950.5	8839.2	4027.14	1871.72	6284.14	5491.21	2584.08	2184.04	2917.01	3855.59
RXN-9220	4841.83	3874.5	5215.72	3429.01	2895.5	3235.2	3276.1400000000003	1738.05	527.79	502.54	1501.08	2021.04	1985.93	3177.59
RXN-9222	54.0	17.0	47.0	25.0	20.0	93.29	38.64	39.47	1.71	67.37	75.5	108.29	120.27	32.0
RXN-9223	153.0	33.0	5.5	142.0	30.0	232.41	165.78	310.47	80.71	79.37	305.5	679.29	584.15	70.0
RXN-9225	33.0	1.0	48.0	0.0	3.0	30.79	12.64	40.14	1.71	65.03999999999999	24.0	30.29	19.77	3.5
RXN-9227	4841.83	3874.5	5215.72	3429.01	2895.5	3235.2	3276.1400000000003	1738.05	527.79	502.54	1501.08	2021.04	1985.93	3177.59
RXN-9229	33.0	1.0	48.0	0.0	3.0	30.79	12.64	40.14	1.71	65.03999999999999	24.0	30.29	19.77	3.5
RXN-9230	54.0	17.0	47.0	25.0	20.0	93.29	38.64	39.47	1.71	67.37	75.5	108.29	120.27	32.0
RXN-9231	153.0	33.0	5.5	142.0	30.0	232.41	165.78	310.47	80.71	79.37	305.5	679.29	584.15	70.0
RXN-9233	33.0	1.0	48.0	0.0	3.0	30.79	12.64	40.14	1.71	65.03999999999999	24.0	30.29	19.77	3.5
RXN-9235	4841.83	3874.5	5215.72	3429.01	2895.5	3235.2	3276.1400000000003	1738.05	527.79	502.54	1501.08	2021.04	1985.93	3177.59
RXN-9237	33.0	1.0	48.0	0.0	3.0	30.79	12.64	40.14	1.71	65.03999999999999	24.0	30.29	19.77	3.5
RXN-9238	153.0	33.0	5.5	142.0	30.0	232.41	165.78	310.47	80.71	79.37	305.5	679.29	584.15	70.0
RXN-9240	33.0	1.0	48.0	0.0	3.0	30.79	12.64	40.14	1.71	65.03999999999999	24.0	30.29	19.77	3.5
RXN-9242	4841.83	3874.5	5215.72	3429.01	2895.5	3235.2	3276.1400000000003	1738.05	527.79	502.54	1501.08	2021.04	1985.93	3177.59
RXN-9297	0.0	0.0	0.0	0.0	0.0	5549.0	6.0	0.0	290.0	60.0	0.0	0.0	0.0	0.0
RXN-9310	147.0	74.0	27.0	105.0	58.0	48.79	12.64	58.14	1.71	323.29	195.0	94.29	417.35	187.0
RXN-9311	4887.83	3661.83	5327.93	3228.08	2848.5	2741.24	3507.78	1567.72	459.79	383.46	1854.08	1674.04	2236.68	3282.59
RXN-9358	5092.83	3902.0	5751.93	3582.02	2950.5	8839.2	4027.14	1871.72	6284.14	5491.21	2584.08	2184.04	2917.01	3855.59
RXN-9359	5092.83	3902.0	5751.93	3582.02	2950.5	8839.2	4027.14	1871.72	6284.14	5491.21	2584.08	2184.04	2917.01	3855.59
RXN-9360	5092.83	3902.0	5751.93	3582.02	2950.5	8839.2	4027.14	1871.72	6284.14	5491.21	2584.08	2184.04	2917.01	3855.59
RXN-9361	4841.83	3874.5	5215.72	3429.01	2895.5	3235.2	3276.1400000000003	1738.05	527.79	502.54	1501.08	2021.04	1985.93	3177.59
RXN-9362	4841.83	3874.5	5215.72	3429.01	2895.5	3235.2	3276.1400000000003	1738.05	527.79	502.54	1501.08	2021.04	1985.93	3177.59
RXN-9363	4841.83	3874.5	5215.72	3429.01	2895.5	3235.2	3276.1400000000003	1738.05	527.79	502.54	1501.08	2021.04	1985.93	3177.59
RXN-9365	5092.83	3902.0	5751.93	3582.02	2950.5	8839.2	4027.14	1871.72	6284.14	5491.21	2584.08	2184.04	2917.01	3855.59
RXN-9366	4841.83	3874.5	5215.72	3429.01	2895.5	3235.2	3276.1400000000003	1738.05	527.79	502.54	1501.08	2021.04	1985.93	3177.59
RXN-9380	5677.73	4368.2	5659.43	4982.28	3090.5	3509.16	4270.5	3227.41	1969.75	1281.5	3273.58	3451.55	3628.94	3721.89
RXN-9382	3003.77	3830.7	2413.75	5298.91	1275.58	8721.869999999999	3986.81	4305.889999999999	8776.560000000001	9151.79	4914.25	4857.969999999999	5710.71	2531.18
