# Constructed from biom file
#OTU ID	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
5d05f97e8c97c91d15917041cc8f77b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	390.0	0.0	93.0	0.0
8af8354119e100e03912093a0214a6df	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	0.0	67.0	96.0	98.0	153.0
b275e170d6f713c5b7aba9d0de3ae562	109.0	84.0	71.0	133.0	34.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bd5d804472dff7a95b6d87548cb01b23	353.0	0.0	101.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2d4b473f111c74adc7f31202c68baa25	74.0	0.0	49.0	0.0	29.0	115.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0dd4596ab8c905001123172c1a431d38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	34.0	0.0	45.0	313.0
2076d37f9b2cc22f6610c3763fcf57c7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	119.0	0.0	0.0	0.0	0.0
49a2f83627a06aa128fd51f783ba18c2	0.0	114.0	0.0	114.0	37.0	0.0	181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65d6558286cd2ebc6394f1972d25801b	0.0	41.0	0.0	38.0	15.0	0.0	350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e4e00f5156c73a05419b9ca75580bd69	0.0	0.0	433.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7729662f716700e98b5f600614c2ae1e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	269.0	55.0	0.0	0.0
809f001c221a4d1d575bf944cabb18d5	0.0	0.0	0.0	0.0	417.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6b0e9057b0f044e68bc6635d1d22eb2c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	397.0	0.0
fea88f9fe5983e3c8691b29c76c14ecd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	140.0	0.0	0.0	0.0	0.0
7b0f6ab42ab2bf4ffd646972a8416ef1	0.0	0.0	0.0	0.0	0.0	0.0	390.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cce03339670b517404f93fcd4ed05e91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	107.0	156.0	57.0
5c9b9bcacc6d63f1f631b5298ffca197	69.0	0.0	0.0	0.0	0.0	309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0ef008ed89fe109c3bf2c0dfde8281c7	0.0	25.0	0.0	152.0	153.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3542985c399c26d22f0e4e1f63782c14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	229.0
2f97c0818ef9a2ec8cb7e5728583c6a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	185.0	85.0	0.0
cf47521ae08b08af6bac3d2b8acca5f9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	287.0	60.0	0.0	0.0	0.0	0.0
6aec3bbb2bb66307234591fcb2b9bfe9	0.0	7.0	11.0	328.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b246ba7a1a883590c6d75450e55faca7	0.0	0.0	0.0	0.0	0.0	0.0	336.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23314a2684c3daacab3f2d338cf799e9	0.0	76.0	0.0	110.0	51.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
