Feature ID	Taxon	Confidence
cb526873f8ec21d4cd26ce88647d594c	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__	0.8896444403178043
498583fcaec40644bcca1af1f37ec160	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__	0.9930450321706996
2e61e4fdd817541f9d25653147f9077e	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9999108674872554
02a99657cb0b2b2f4fa481210130c2b4	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9999642646911723
0172664fcf9dc55a80f65363dec46453	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__uncultured;s__	0.8768205675549544
ef143ce9dd640332278e25aa7a32022a	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9999395279235082
d55d1d9993e7b1b631a4f98db03c8133	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.9999881764640386
834cde2ca04cc4696fec71273b140ed5	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9998955197286051
18f4f0cfa9d5b952391f01dfbc511702	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	0.9886558813301445
48a9708c88bb55d643e670c9ead2f234	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9999521087716887
f3f134b35e4c48ef39993ccb8c767249	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9999268362136888
0457942a0a917824d5f72a60a023dca7	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.9938460802916267
bbda453485fa9f8551fdb633123e1054	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.9988824656588794
337a73d564322e49fa910d0b25e5d44f	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group;s__	0.998917738672925
cd8f428adc0b3ca184319dcc3664622f	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__	0.8414406126176627
8255b6c36e7a87867032ea1803b4058c	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9999463164245428
67d93cd56f63a1911c9ec11c4cb65177	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;s__	0.9982758682719799
85974f1d6890070ebfe1ea8f4badf27e	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.8269310118377055
