run_accession	fastq_bytes	country
SRR31228129	1213568370;1275199712	Burkina Faso: Nanoro
SRR31228130	1126605927;1164002246	Burkina Faso: Nanoro
SRR31228132	1244880543;1319100748	Burkina Faso: Nanoro
SRR31228134	1228043364;1300883296	Burkina Faso: Nanoro
SRR31228136	1041745020;1089924741	Burkina Faso: Nanoro
SRR31228142	1282495827;1330917416	Burkina Faso: Nanoro
SRR31228143	1115056974;1151630247	Burkina Faso: Nanoro
SRR31228146	1248003287;1282853410	Burkina Faso: Nanoro
SRR31228149	1265597626;1307784811	Burkina Faso: Nanoro
SRR31228150	1259888187;1304908776	Burkina Faso: Nanoro
SRR31228153	1294945547;1348026673	Burkina Faso: Nanoro
SRR31228158	1261660349;1280909653	Burkina Faso: Nanoro
SRR31228165	1073125199;1117604195	Burkina Faso: Nanoro
SRR31228168	969187512;1013498633	Burkina Faso: Nanoro
SRR31228170	1032471821;1074816732	Burkina Faso: Nanoro
SRR31228173	880555737;910175612	Burkina Faso: Nanoro
SRR31228178	1028763494;1064246639	Burkina Faso: Nanoro
SRR31228181	1221223242;1262430802	Burkina Faso: Nanoro
SRR31228192	1222516358;1264263396	Burkina Faso: Nanoro
SRR31228195	1074249298;1112156620	Burkina Faso: Nanoro
SRR31228196	1078855081;1136804925	Burkina Faso: Nanoro
SRR31228198	1026298834;1049956362	Burkina Faso: Nanoro
SRR31228200	1278630354;1326245302	Burkina Faso: Nanoro
SRR31228201	1229955895;1272058503	Burkina Faso: Nanoro
SRR31228203	1107683060;1141477715	Burkina Faso: Nanoro
SRR31228215	1267051210;1309599552	Burkina Faso: Nanoro
SRR31228218	1055641921;1094157784	Burkina Faso: Nanoro
SRR31228221	1219242323;1272600972	Burkina Faso: Nanoro
SRR31228224	1135397906;1193539232	Burkina Faso: Nanoro
SRR31228225	1034787823;1080753793	Burkina Faso: Nanoro
SRR31228232	1213149368;1246873189	Burkina Faso: Nanoro
SRR31228236	1049937567;1089185164	Burkina Faso: Nanoro
SRR31228238	1280044956;1343340931	Burkina Faso: Nanoro
SRR31228239	1113908694;1165224929	Burkina Faso: Nanoro
SRR31228240	1011569469;1051844367	Burkina Faso: Nanoro
SRR31228243	1091235195;1129459080	Burkina Faso: Nanoro
SRR31228248	1250175466;1303079040	Burkina Faso: Nanoro
SRR31228250	1044167170;1073059379	Burkina Faso: Nanoro
SRR31228261	1196402552;1228625351	Burkina Faso: Nanoro
SRR31228265	1037058656;1093886440	Burkina Faso: Nanoro
SRR31228270	1228439170;1282280529	Burkina Faso: Nanoro
SRR31228271	1036720085;1071932027	Burkina Faso: Nanoro
SRR31228273	1173244921;1213323669	Burkina Faso: Nanoro
SRR31228276	1050497166;1076411365	Burkina Faso: Nanoro
SRR31228286	1053032689;1075800883	Burkina Faso: Nanoro
SRR31228287	1006739847;1036823081	Burkina Faso: Nanoro
SRR31228293	1177616282;1256285013	Burkina Faso: Nanoro
SRR31228295	1094245473;1160802212	Burkina Faso: Nanoro
SRR31228297	1088152278;1138914417	Burkina Faso: Nanoro
SRR31228298	1024044663;1077787991	Burkina Faso: Nanoro
SRR31228302	1223519809;1235292918	Burkina Faso: Nanoro
SRR31228303	1201766803;1245154087	Burkina Faso: Nanoro
SRR31228304	1183428809;1239096503	Burkina Faso: Nanoro
SRR31228306	1140653588;1183428584	Burkina Faso: Nanoro
SRR31228308	1046071518;1109360710	Burkina Faso: Nanoro
SRR31228309	1207723155;1263489075	Burkina Faso: Nanoro
SRR31228313	1221770455;1277431661	Burkina Faso: Nanoro
SRR31239410	1224813653;1298315438	Ghana: Navrongo
SRR31239412	1171432385;1210610387	Ghana: Navrongo
SRR31239413	1088717413;1137249728	Ghana: Navrongo
SRR31239417	1148684963;1185920513	Ghana: Navrongo
SRR31239418	1213825041;1282100999	Ghana: Navrongo
SRR31239423	1234752880;1279898308	Ghana: Navrongo
SRR31239429	1279218253;1335464503	Ghana: Navrongo
SRR31239430	1178611595;1253541690	Ghana: Navrongo
SRR31239431	1419188621;1521094857	Ghana: Navrongo
SRR31239432	1007242914;1052018120	Ghana: Navrongo
SRR31239445	1107559432;1157028311	Ghana: Navrongo
SRR31239451	1178316566;1245793595	Ghana: Navrongo
SRR31239452	1080852048;1129477474	Ghana: Navrongo
SRR31239453	1069527872;1134668246	Ghana: Navrongo
SRR31239456	1119407350;1170403904	Ghana: Navrongo
SRR31239467	1154994582;1219550833	Ghana: Navrongo
SRR31239470	1178079843;1211088704	Ghana: Navrongo
SRR31239471	1199125393;1261196943	Ghana: Navrongo
SRR31239472	1161217157;1206964772	Ghana: Navrongo
SRR31239473	998498681;1048560553	Ghana: Navrongo
SRR31239475	1177970819;1225572222	Ghana: Navrongo
SRR31239476	1239295548;1279979516	Ghana: Navrongo
SRR31239481	1116565930;1157493209	Ghana: Navrongo
SRR31239482	1105546581;1141593148	Ghana: Navrongo
SRR31239483	1212582473;1254429513	Ghana: Navrongo
SRR31239486	1169028225;1230562500	Ghana: Navrongo
SRR31239487	1077091373;1107701558	Ghana: Navrongo
SRR31239489	1045966932;1091230976	Ghana: Navrongo
SRR31239493	1145361566;1165547175	Ghana: Navrongo
SRR31239498	1030783720;1080102765	Ghana: Navrongo
SRR31239501	976410344;1015410220	Ghana: Navrongo
SRR31239510	1170377738;1241913083	Ghana: Navrongo
SRR31239513	1157682915;1200973106	Ghana: Navrongo
SRR31239514	1115204135;1142150065	Ghana: Navrongo
SRR31239516	1091529452;1129579797	Ghana: Navrongo
SRR31239527	1493167372;1549649331	Ghana: Navrongo
SRR31239528	1198469541;1261020097	Ghana: Navrongo
SRR31239530	942951229;986889514	Ghana: Navrongo
SRR31239532	1095285175;1153287963	Ghana: Navrongo
SRR31239538	1272356804;1318686557	Ghana: Navrongo
SRR31239539	1196298502;1242204112	Ghana: Navrongo
SRR31239545	1108603525;1143673754	Ghana: Navrongo
SRR31239548	1196105545;1230283617	Ghana: Navrongo
SRR31239549	1102826236;1166752945	Ghana: Navrongo
SRR31239553	1313075362;1367897305	Ghana: Navrongo
SRR31239555	1039574415;1070230031	Ghana: Navrongo
SRR31239557	1199070063;1245476797	Ghana: Navrongo
SRR31239559	1106802304;1149666805	Ghana: Navrongo
SRR31239562	1016994049;1078106074	Ghana: Navrongo
SRR31239568	1213145168;1285107474	Ghana: Navrongo
SRR31239569	1285476415;1363483952	Ghana: Navrongo
