run_accession	sample_accession	sample_alias	sample_title	fastq_ftp
SRR13378618	SAMN17250451	bftm0902	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/018/SRR13378618/SRR13378618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/018/SRR13378618/SRR13378618_2.fastq.gz
SRR13378619	SAMN17250450	bftm0803	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/019/SRR13378619/SRR13378619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/019/SRR13378619/SRR13378619_2.fastq.gz
SRR13378622	SAMN17250447	bftm0704	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/022/SRR13378622/SRR13378622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/022/SRR13378622/SRR13378622_2.fastq.gz
SRR13378624	SAMN17250446	bftm0703	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13378624/SRR13378624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13378624/SRR13378624_2.fastq.gz
SRR13378626	SAMN17250444	bftm0604	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/026/SRR13378626/SRR13378626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/026/SRR13378626/SRR13378626_2.fastq.gz
SRR13378627	SAMN17250443	bftm0602	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/027/SRR13378627/SRR13378627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/027/SRR13378627/SRR13378627_2.fastq.gz
SRR13378629	SAMN17250441	bftm0504	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/029/SRR13378629/SRR13378629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/029/SRR13378629/SRR13378629_2.fastq.gz
SRR13378630	SAMN17250440	bftm0502	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13378630/SRR13378630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13378630/SRR13378630_2.fastq.gz
SRR13378635	SAMN17250427	bftm0101	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/035/SRR13378635/SRR13378635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/035/SRR13378635/SRR13378635_2.fastq.gz
SRR13378548	SAMN17250515	bftm3003	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/048/SRR13378548/SRR13378548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/048/SRR13378548/SRR13378548_2.fastq.gz
